ID,Text Sample,Contains Racial Undertone,Bias Type,Classification Type,Source
1,This is complete bs and everyone knows it,Yes,Offensive Language,Offensive Language,Social Media
2,What the hell were they thinking???,Yes,Offensive Language,Offensive Language,Social Media
3,This is such a damn mess smh,Yes,Offensive Language,Offensive Language,Social Media
4,Get the f*** out of here with that nonsense,Yes,Offensive Language,Offensive Language,Social Media
5,You're full of sh*t dude,Yes,Offensive Language,Offensive Language,Social Media
6,This is f*cking ridiculous tbh,Yes,Offensive Language,Offensive Language,Social Media
7,What a b*tch move honestly,Yes,Offensive Language,Offensive Language,Social Media
8,He's being a total a**hole rn,Yes,Offensive Language,Offensive Language,Social Media
9,That's some bull$hit right there,Yes,Offensive Language,Offensive Language,Social Media
10,Stop being such a d*ck about it,Yes,Offensive Language,Offensive Language,Social Media
11,Th!s is $o st*pid omg,Yes,Offensive Language,Offensive Language,Social Media
12,What the h3ll is going on here??,Yes,Offensive Language,Offensive Language,Social Media
13,F@ck this I'm done,Yes,Offensive Language,Offensive Language,Social Media
14,B!tch please... not happening,Yes,Offensive Language,Offensive Language,Social Media
15,This sh!t is crazy af,Yes,Offensive Language,Offensive Language,Social Media
16,wtf is wrong with you lmao,Yes,Offensive Language,Offensive Language,Social Media
17,stfu nobody asked for your opinion,Yes,Offensive Language,Offensive Language,Social Media
18,idc what anyone says this is bs,Yes,Offensive Language,Offensive Language,Social Media
19,smh people are so fn stupid these days,Yes,Offensive Language,Offensive Language,Social Media
20,gtfo with that weak argument lol,Yes,Offensive Language,Offensive Language,Social Media
21,omg this is such bullsh*t wtf 😡,Yes,Offensive Language,Offensive Language,Social Media
22,r u f***ing kidding me rn???,Yes,Offensive Language,Offensive Language,Social Media
23,ngl this is pretty damn stupid imo,Yes,Offensive Language,Offensive Language,Social Media
24,bruh wtf... this is some a$$ content,Yes,Offensive Language,Offensive Language,Social Media
25,lmao what kind of sh!tty take is that,Yes,Offensive Language,Offensive Language,Social Media
26,th1s 1s s0 dum8,Yes,Offensive Language,Offensive Language,Social Media
27,fvck th4t n0ise,Yes,Offensive Language,Offensive Language,Social Media
28,b1tch pls ur wr0ng,Yes,Offensive Language,Offensive Language,Social Media
29,sh1t just got real tbh,Yes,Offensive Language,Offensive Language,Social Media
30,d4mn son thats cr4zy,Yes,Offensive Language,Offensive Language,Social Media
