ID,Text Sample,Contains Racial Undertone,Bias Type,Classification Type,Source
342,stfu nobody asked for your opinion #4180,Yes,Offensive Language,Offensive Language,Social Media
565,This discussion is quite interesting #5754,No,None,None,Social Media
589,I agree with your analysis #3207,No,None,None,Social Media
946,I appreciate your perspective on this topic #8529,No,None,None,Social Media
137,That's some bull$hit right there #982,Yes,Offensive Language,Offensive Language,Social Media
925,Let's keep the conversation respectful #9300,No,None,None,Social Media
404,lmao what kind of sh!tty take is that #8547,Yes,Offensive Language,Offensive Language,Social Media
833,Let's keep the conversation respectful #9510,No,None,None,Social Media
290,Stop being such a d*ck about it #1165,Yes,Offensive Language,Offensive Language,Social Media
145,He's being a total a**hole rn #8200,Yes,Offensive Language,Offensive Language,Social Media
660,I agree with your analysis #7243,No,None,None,Social Media
841,Let's keep the conversation respectful #4282,No,None,None,Social Media
551,This is a well written comment #5305,No,None,None,Social Media
139,fvck th4t n0ise #2977,Yes,Offensive Language,Offensive Language,Social Media
58,Th!s is $o st*pid omg #2174,Yes,Offensive Language,Offensive Language,Social Media
161,Th!s is $o st*pid omg #522,Yes,Offensive Language,Offensive Language,Social Media
678,I agree with your analysis #7056,No,None,None,Social Media
793,I think this makes sense #3499,No,None,None,Social Media
224,What the h3ll is going on here?? #1166,Yes,Offensive Language,Offensive Language,Social Media
175,Get the f*** out of here with that nonsense #5148,Yes,Offensive Language,Offensive Language,Social Media
314,This is f*cking ridiculous tbh #5194,Yes,Offensive Language,Offensive Language,Social Media
526,I agree with your analysis #2843,No,None,None,Social Media
282,idc what anyone says this is bs #12,Yes,Offensive Language,Offensive Language,Social Media
338,This is f*cking ridiculous tbh #2241,Yes,Offensive Language,Offensive Language,Social Media
501,This is helpful information #2541,No,None,None,Social Media
121,Get the f*** out of here with that nonsense #7777,Yes,Offensive Language,Offensive Language,Social Media
225,This sh!t is crazy af #2087,Yes,Offensive Language,Offensive Language,Social Media
760,This is helpful information #9458,No,None,None,Social Media
716,This is a thoughtful point #9740,No,None,None,Social Media
884,Let's keep the conversation respectful #4306,No,None,None,Social Media
350,th1s 1s s0 dum8 #3930,Yes,Offensive Language,Offensive Language,Social Media
374,This sh!t is crazy af #8324,Yes,Offensive Language,Offensive Language,Social Media
673,This is helpful information #4821,No,None,None,Social Media
279,r u f***ing kidding me rn??? #7805,Yes,Offensive Language,Offensive Language,Social Media
490,Get the f*** out of here with that nonsense #4325,Yes,Offensive Language,Offensive Language,Social Media
444,What a b*tch move honestly #1956,Yes,Offensive Language,Offensive Language,Social Media
67,smh people are so fn stupid these days #8606,Yes,Offensive Language,Offensive Language,Social Media
850,This discussion is quite interesting #8074,No,None,None,Social Media
834,I think this makes sense #3958,No,None,None,Social Media
352,What the hell were they thinking??? #1953,Yes,Offensive Language,Offensive Language,Social Media
731,We should consider multiple viewpoints #5795,No,None,None,Social Media
146,ngl this is pretty damn stupid imo #392,Yes,Offensive Language,Offensive Language,Social Media
429,stfu nobody asked for your opinion #3812,Yes,Offensive Language,Offensive Language,Social Media
532,Thanks for sharing your thoughts #9723,No,None,None,Social Media
854,Thanks for sharing your thoughts #2117,No,None,None,Social Media
734,Thanks for sharing your thoughts #7213,No,None,None,Social Media
496,That's some bull$hit right there #6076,Yes,Offensive Language,Offensive Language,Social Media
409,Get the f*** out of here with that nonsense #5802,Yes,Offensive Language,Offensive Language,Social Media
307,wtf is wrong with you lmao #8138,Yes,Offensive Language,Offensive Language,Social Media
265,r u f***ing kidding me rn??? #101,Yes,Offensive Language,Offensive Language,Social Media
3,wtf is wrong with you lmao #4422,Yes,Offensive Language,Offensive Language,Social Media
514,I appreciate your perspective on this topic #7562,No,None,None,Social Media
676,We should consider multiple viewpoints #2975,No,None,None,Social Media
972,This discussion is quite interesting #8125,No,None,None,Social Media
779,This is helpful information #3267,No,None,None,Social Media
232,What the h3ll is going on here?? #812,Yes,Offensive Language,Offensive Language,Social Media
134,He's being a total a**hole rn #9858,Yes,Offensive Language,Offensive Language,Social Media
351,omg this is such bullsh*t wtf 😡 #6640,Yes,Offensive Language,Offensive Language,Social Media
902,I appreciate your perspective on this topic #4750,No,None,None,Social Media
417,What the hell were they thinking??? #4956,Yes,Offensive Language,Offensive Language,Social Media
636,This is a thoughtful point #2927,No,None,None,Social Media
273,What a b*tch move honestly #73,Yes,Offensive Language,Offensive Language,Social Media
671,This is helpful information #4633,No,None,None,Social Media
62,fvck th4t n0ise #9102,Yes,Offensive Language,Offensive Language,Social Media
513,This is a well written comment #1229,No,None,None,Social Media
766,I agree with your analysis #9089,No,None,None,Social Media
372,smh people are so fn stupid these days #8241,Yes,Offensive Language,Offensive Language,Social Media
445,smh people are so fn stupid these days #9578,Yes,Offensive Language,Offensive Language,Social Media
646,Thanks for sharing your thoughts #9405,No,None,None,Social Media
345,What the h3ll is going on here?? #3942,Yes,Offensive Language,Offensive Language,Social Media
530,This is helpful information #7737,No,None,None,Social Media
822,I appreciate your perspective on this topic #2009,No,None,None,Social Media
190,d4mn son thats cr4zy #6391,Yes,Offensive Language,Offensive Language,Social Media
942,This discussion is quite interesting #2295,No,None,None,Social Media
763,This is a thoughtful point #1370,No,None,None,Social Media
785,This discussion is quite interesting #6675,No,None,None,Social Media
699,I appreciate your perspective on this topic #8102,No,None,None,Social Media
558,Thanks for sharing your thoughts #417,No,None,None,Social Media
378,This is f*cking ridiculous tbh #1148,Yes,Offensive Language,Offensive Language,Social Media
979,I appreciate your perspective on this topic #3537,No,None,None,Social Media
805,This is a well written comment #7435,No,None,None,Social Media
463,r u f***ing kidding me rn??? #3405,Yes,Offensive Language,Offensive Language,Social Media
903,We should consider multiple viewpoints #3109,No,None,None,Social Media
54,lmao what kind of sh!tty take is that #2100,Yes,Offensive Language,Offensive Language,Social Media
883,This discussion is quite interesting #2732,No,None,None,Social Media
418,smh people are so fn stupid these days #2730,Yes,Offensive Language,Offensive Language,Social Media
477,fvck th4t n0ise #8971,Yes,Offensive Language,Offensive Language,Social Media
807,I think this makes sense #6562,No,None,None,Social Media
302,You're full of sh*t dude #2676,Yes,Offensive Language,Offensive Language,Social Media
339,smh people are so fn stupid these days #9234,Yes,Offensive Language,Offensive Language,Social Media
518,This is a well written comment #7952,No,None,None,Social Media
765,I think this makes sense #5632,No,None,None,Social Media
116,Get the f*** out of here with that nonsense #1024,Yes,Offensive Language,Offensive Language,Social Media
912,This is a well written comment #5925,No,None,None,Social Media
498,B!tch please... not happening #5036,Yes,Offensive Language,Offensive Language,Social Media
411,fvck th4t n0ise #4351,Yes,Offensive Language,Offensive Language,Social Media
813,Thanks for sharing your thoughts #3737,No,None,None,Social Media
60,smh people are so fn stupid these days #2869,Yes,Offensive Language,Offensive Language,Social Media
89,r u f***ing kidding me rn??? #9957,Yes,Offensive Language,Offensive Language,Social Media
428,th1s 1s s0 dum8 #6623,Yes,Offensive Language,Offensive Language,Social Media
6,bruh wtf... this is some a$$ content #5403,Yes,Offensive Language,Offensive Language,Social Media
926,We should consider multiple viewpoints #7318,No,None,None,Social Media
931,This is a thoughtful point #4053,No,None,None,Social Media
1,gtfo with that weak argument lol #6350,Yes,Offensive Language,Offensive Language,Social Media
944,This is helpful information #515,No,None,None,Social Media
685,This discussion is quite interesting #2358,No,None,None,Social Media
