ID,Text Sample,Contains Racial Undertone,Bias Type,Classification Type,Source
1,Shut up you idiot,No,Offensive Language,Biased,Synthetic
2,Shut up you idiot,No,Offensive Language,Biased,Synthetic
3,You are useless and stupid,No,Offensive Language,Biased,Synthetic
4,You are useless and stupid,No,Offensive Language,Biased,Synthetic
5,Shut up you idiot,No,Offensive Language,Biased,Synthetic
6,You are useless and stupid,No,Offensive Language,Biased,Synthetic
7,That's a dumb thing to say,No,Offensive Language,Biased,Synthetic
8,Shut up you idiot,No,Offensive Language,Biased,Synthetic
9,That's a dumb thing to say,No,Offensive Language,Biased,Synthetic
10,Shut up you idiot,No,Offensive Language,Biased,Synthetic
11,You are useless and stupid,No,Offensive Language,Biased,Synthetic
12,Shut up you idiot,No,Offensive Language,Biased,Synthetic
13,Shut up you idiot,No,Offensive Language,Biased,Synthetic
14,You are useless and stupid,No,Offensive Language,Biased,Synthetic
15,That's a dumb thing to say,No,Offensive Language,Biased,Synthetic
16,Shut up you idiot,No,Offensive Language,Biased,Synthetic
17,Shut up you idiot,No,Offensive Language,Biased,Synthetic
18,Shut up you idiot,No,Offensive Language,Biased,Synthetic
19,Shut up you idiot,No,Offensive Language,Biased,Synthetic
20,Shut up you idiot,No,Offensive Language,Biased,Synthetic
21,That's a dumb thing to say,No,Offensive Language,Biased,Synthetic
22,Shut up you idiot,No,Offensive Language,Biased,Synthetic
23,Shut up you idiot,No,Offensive Language,Biased,Synthetic
24,Shut up you idiot,No,Offensive Language,Biased,Synthetic
25,You are useless and stupid,No,Offensive Language,Biased,Synthetic
26,You are useless and stupid,No,Offensive Language,Biased,Synthetic
27,You are useless and stupid,No,Offensive Language,Biased,Synthetic
28,You are useless and stupid,No,Offensive Language,Biased,Synthetic
29,That's a dumb thing to say,No,Offensive Language,Biased,Synthetic
30,That's a dumb thing to say,No,Offensive Language,Biased,Synthetic
31,You are useless and stupid,No,Offensive Language,Biased,Synthetic
32,You are useless and stupid,No,Offensive Language,Biased,Synthetic
33,You are useless and stupid,No,Offensive Language,Biased,Synthetic
34,That's a dumb thing to say,No,Offensive Language,Biased,Synthetic
35,You are useless and stupid,No,Offensive Language,Biased,Synthetic
36,Shut up you idiot,No,Offensive Language,Biased,Synthetic
37,Shut up you idiot,No,Offensive Language,Biased,Synthetic
38,That's a dumb thing to say,No,Offensive Language,Biased,Synthetic
39,Shut up you idiot,No,Offensive Language,Biased,Synthetic
40,That's a dumb thing to say,No,Offensive Language,Biased,Synthetic
41,That's a dumb thing to say,No,Offensive Language,Biased,Synthetic
42,Shut up you idiot,No,Offensive Language,Biased,Synthetic
43,That's a dumb thing to say,No,Offensive Language,Biased,Synthetic
44,That's a dumb thing to say,No,Offensive Language,Biased,Synthetic
45,You are useless and stupid,No,Offensive Language,Biased,Synthetic
46,That's a dumb thing to say,No,Offensive Language,Biased,Synthetic
47,That's a dumb thing to say,No,Offensive Language,Biased,Synthetic
48,That's a dumb thing to say,No,Offensive Language,Biased,Synthetic
49,Shut up you idiot,No,Offensive Language,Biased,Synthetic
50,That's a dumb thing to say,No,Offensive Language,Biased,Synthetic
51,Shut up you idiot,No,Offensive Language,Biased,Synthetic
52,That's a dumb thing to say,No,Offensive Language,Biased,Synthetic
53,You are useless and stupid,No,Offensive Language,Biased,Synthetic
54,Shut up you idiot,No,Offensive Language,Biased,Synthetic
55,You are useless and stupid,No,Offensive Language,Biased,Synthetic
56,That's a dumb thing to say,No,Offensive Language,Biased,Synthetic
57,Shut up you idiot,No,Offensive Language,Biased,Synthetic
58,Shut up you idiot,No,Offensive Language,Biased,Synthetic
59,You are useless and stupid,No,Offensive Language,Biased,Synthetic
60,That's a dumb thing to say,No,Offensive Language,Biased,Synthetic
61,You are useless and stupid,No,Offensive Language,Biased,Synthetic
62,That's a dumb thing to say,No,Offensive Language,Biased,Synthetic
63,That's a dumb thing to say,No,Offensive Language,Biased,Synthetic
64,You are useless and stupid,No,Offensive Language,Biased,Synthetic
65,Shut up you idiot,No,Offensive Language,Biased,Synthetic
66,That's a dumb thing to say,No,Offensive Language,Biased,Synthetic
67,That's a dumb thing to say,No,Offensive Language,Biased,Synthetic
68,You are useless and stupid,No,Offensive Language,Biased,Synthetic
69,You are useless and stupid,No,Offensive Language,Biased,Synthetic
70,Shut up you idiot,No,Offensive Language,Biased,Synthetic
71,Shut up you idiot,No,Offensive Language,Biased,Synthetic
72,Shut up you idiot,No,Offensive Language,Biased,Synthetic
73,Shut up you idiot,No,Offensive Language,Biased,Synthetic
74,That's a dumb thing to say,No,Offensive Language,Biased,Synthetic
75,You are useless and stupid,No,Offensive Language,Biased,Synthetic
76,That's a dumb thing to say,No,Offensive Language,Biased,Synthetic
77,You are useless and stupid,No,Offensive Language,Biased,Synthetic
78,You are useless and stupid,No,Offensive Language,Biased,Synthetic
79,Shut up you idiot,No,Offensive Language,Biased,Synthetic
80,Shut up you idiot,No,Offensive Language,Biased,Synthetic
81,You are useless and stupid,No,Offensive Language,Biased,Synthetic
82,That's a dumb thing to say,No,Offensive Language,Biased,Synthetic
83,That's a dumb thing to say,No,Offensive Language,Biased,Synthetic
84,You are useless and stupid,No,Offensive Language,Biased,Synthetic
85,You are useless and stupid,No,Offensive Language,Biased,Synthetic
86,That's a dumb thing to say,No,Offensive Language,Biased,Synthetic
87,Shut up you idiot,No,Offensive Language,Biased,Synthetic
88,That's a dumb thing to say,No,Offensive Language,Biased,Synthetic
89,That's a dumb thing to say,No,Offensive Language,Biased,Synthetic
90,Shut up you idiot,No,Offensive Language,Biased,Synthetic
91,That's a dumb thing to say,No,Offensive Language,Biased,Synthetic
92,You are useless and stupid,No,Offensive Language,Biased,Synthetic
93,That's a dumb thing to say,No,Offensive Language,Biased,Synthetic
94,You are useless and stupid,No,Offensive Language,Biased,Synthetic
95,Shut up you idiot,No,Offensive Language,Biased,Synthetic
96,Shut up you idiot,No,Offensive Language,Biased,Synthetic
97,You are useless and stupid,No,Offensive Language,Biased,Synthetic
98,That's a dumb thing to say,No,Offensive Language,Biased,Synthetic
99,That's a dumb thing to say,No,Offensive Language,Biased,Synthetic
100,Shut up you idiot,No,Offensive Language,Biased,Synthetic
101,That's a dumb thing to say,No,Offensive Language,Biased,Synthetic
102,You are useless and stupid,No,Offensive Language,Biased,Synthetic
103,You are useless and stupid,No,Offensive Language,Biased,Synthetic
104,You are useless and stupid,No,Offensive Language,Biased,Synthetic
105,You are useless and stupid,No,Offensive Language,Biased,Synthetic
106,That's a dumb thing to say,No,Offensive Language,Biased,Synthetic
107,That's a dumb thing to say,No,Offensive Language,Biased,Synthetic
108,Shut up you idiot,No,Offensive Language,Biased,Synthetic
109,That's a dumb thing to say,No,Offensive Language,Biased,Synthetic
110,That's a dumb thing to say,No,Offensive Language,Biased,Synthetic
111,That's a dumb thing to say,No,Offensive Language,Biased,Synthetic
112,You are useless and stupid,No,Offensive Language,Biased,Synthetic
113,Shut up you idiot,No,Offensive Language,Biased,Synthetic
114,Shut up you idiot,No,Offensive Language,Biased,Synthetic
115,That's a dumb thing to say,No,Offensive Language,Biased,Synthetic
116,That's a dumb thing to say,No,Offensive Language,Biased,Synthetic
117,That's a dumb thing to say,No,Offensive Language,Biased,Synthetic
118,That's a dumb thing to say,No,Offensive Language,Biased,Synthetic
119,Shut up you idiot,No,Offensive Language,Biased,Synthetic
120,You are useless and stupid,No,Offensive Language,Biased,Synthetic
121,That's a dumb thing to say,No,Offensive Language,Biased,Synthetic
122,You are useless and stupid,No,Offensive Language,Biased,Synthetic
123,You are useless and stupid,No,Offensive Language,Biased,Synthetic
124,Shut up you idiot,No,Offensive Language,Biased,Synthetic
125,Shut up you idiot,No,Offensive Language,Biased,Synthetic
